question,answer
How many total seats for B.Sc Electrical Engineering Department at UET faisalabad campus?,Number of available seats for B.Sc electrical engineering department are almost 99. Which can be changed with respect to time.
How many total seats for B.Sc Mechatronics Department at UET faisalabad campus?,Number of available seats for B.Sc mechatronics are almost 100. Which can be changed with respect to time.
How many total seats for B.Sc Textile Department at UET faisalabad campus?,Number of available seats for B.Sc textile are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Chemical Engineering Department at UET faisalabad campus?,Number of available seats for B.Sc chemical engineering are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc Electrical Engineering Department at UET KSK campus?,Number of available seats for B.Sc Electical engineering are almost 89. Which can be changed with respect to time.
How many total seats for B.Sc Computer Science Department at UET KSK campus?,Number of available seats for B.Sc Computer Science are almost 100. Which can be changed with respect to time.
How many total seats for B.Sc Biomedical  Department at UET KSK campus?,Number of available seats for B.Sc Biomedical are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Mechanical Engineering Department at UET KSK campus?,Number of available seats for B.Sc Mechanical engineering are almost 93. Which can be changed with respect to time.
How many total seats for B.Sc Chemical  Department at UET KSK campus?,Number of available seats for B.Sc chemical engineering are almost 96. Which can be changed with respect to time.
How many total seats for B.Sc Electrical  Engineering Department at UET RACHNA campus?,Number of available seats for B.Sc Electrical engineering are almost 55. Which can be changed with respect to time.
How many total seats for B.Sc Computer Scince  Department at UET RACHNA campus?,Number of available seats for B.Sc Computer Science are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc Mechanical  Department at UET RACHNA campus?,Number of available seats for B.Sc Mechanical engineering are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc iNdustrial and Manufactruing D at UET KSK campus?,Number of available seats for B.Sc Industrial and Manufactruing engineering are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc Electrical  engineering at UET Narowal campus?,Number of available seats for B.Sc Electrical engineering are almost 52. Which can be changed with respect to time.
How many total seats for B.Sc Computer Science Department at UET Narowal campus?,Number of available seats for B.Sc Computer Science engineering are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Biomedical  Enineering Department at UET Narowal campus?,Number of available seats for B.Sc Biomedical Engineering are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc Mechanical  Department at UET Narowal campus?,Number of available seats for B.Sc Mechanical engineering are almost 51. Which can be changed with respect to time.
What are the grading Criteria or rule of grading or how grading occur?,Relative Grading
What are grade points (GP) for A+ grade?,Grade Points (GP) for A+ is 4.0
What are grade points (GP) for A grade?,Grade Points (GP) for A is 4.0
What are grade points (GP) for A- grade?,Grade Points (GP) for A is 3.7
What are grade points (GP) for B+ grade?,Grade Points (GP) for B+ is 3.3
What are grade points (GP) for B grade?,Grade Points (GP) for B is 3.0
What are grade points (GP) for B- grade?,Grade Points (GP) for B- is 2.7
 What are grade points (GP) for C+ grade?,Grade Points (GP) for  C+ is 2.3
What are grade points (GP) for C grade?,Grade Points (GP) for C is 2.0
What are grade points (GP) for C- grade?,Grade Points (GP) for C- is 1.7
 What are grade points (GP) for D+ grade?,Grade Points (GP) for D+ is 1.3
What are grade points (GP) for D grade?,Grade Points (GP) for D is 1.0
What are grade points (GP) for F grade?,Grade Points (GP) for F is “0.0”
What are grade points (GP) scheme or grading rule?,"A+ 	A	A-	B+	B	B-	C+	C	C-	D+	D	F
4.0  4.0 	3.7	3.3	3.0	2.7	2.3	2.0	1.7	1.3	1.0	0.0"
Where to apply for Hostel Allotment for 1st Year Classes?,"At the time of applying for admission on admission portal, you need to click on admission portal facility checkbox "
How to apply for Hostel Allotment?,"Student can apply from their LMS account for hostel facility, and take print of application and submit hard copy and  challan copy  in senior warden office admission block. 04299029225"
How to pay the Hostel Fee?,"Challan form is automatically generated when student  applies for hostel facility, after paying fee submit challan copy in senior warden office 04299029225"
How much Fee for Hostel Allotment?,"Fee is different for two categories, i.e Dormitory >1700 (Shared room) per semester and Cubical (single person)"
Can final year students apply for hostel  facility?,"Final year students can apply for hostel facility, they will be allotted if seats are available, undergraduate students are preferred for hostel facility"
Who is not eligible for Hostel allotment?,Lahore Domicile holders  are not eligible for hostel facility
Which hostel will be allotted?,Hostel is allotted according to merit year wise
Which type of room will be allotted,Dormitory (Shared room) and Cubical (single person) room is allotted to students
What sort of facilities available in Hostel?,"Mess, Laundry,  TV room, Common Room for indoor games, Internet, Steel bed, Chair, table, fan, Prayer room, study room etc"
What are arrangements for meal in hostels?,Mess is available for students in every hostel. Menu is decided by students committee
How to register for Hostel Mess?,Student can register in respective hostel for mess  by paying security fee 
Who is Warden and his/her responsibilities?,"Resident Tutor in  incharge of every hostel they deal hostel security,  meal and rules and regulations matters, Separate warden is  for boys and girls hostels, senior warden is the head of all hostels."
Who is Resident Tutor and his/her responsibilities?,"Resident Tutor in  incharge of every hostel they deal hostel security, meal and rules and regulations matters"
Who is Senior Warden and his/her responsibilities?,"Separate warden is  for boys and girls hostels, senior warden is the head of all hostels."
Hostel Timings for Boys & Girls Hostels?,Timing for boys hostel is 12 night and for girls hostel is 9 PM 
Procedure to lodge complaint for any kind of repair & Maintenance in Room?,Student can email his problem at hmc@uet.edu.pk or contact the respective store keep of  the hostel for repair and maintenance issue
Laundry services available in Hostels?,Yes
What is the procedure of allotment other than 1st Year?,Students can apply on LMS for hostel other than 1st year
who is responsibal for hostel sanitation/clean and health isuues or problems?,Hostel maintenance cell is responsible for sanitation issues
Number of Seats in Hostels (Both boys &  girls),3000 for boys and girls combined
How much Staff of Senior Warden Office?,6 persons
How many types of rooms are there in hostels?,ormitory(shared room) and cubical (for single person)
When will be allotted room after submission of hostel form?,2 to3days depends  upon  avalaibiliy of seats
How many seats are there for Postgraduate & Undergraduate students?,For postgraduate 400 undergraduate 2500 
Who make the mess menu?,Mess committee and students committee with consolation of resident tutor
How to pay mess bill?,"After every month, students pay fee to the munshi."
How to pay hostel fee?,Challan is generated automatically
Who is mess manger?,Mess manager is selected from students based on the merit
Duties of mess manager?,"Mess related issue, cleanliness of mess"
 What type of recreational activities in hostels?,Indoor games etc explained above
How will I cancel my hostel allotment?,Apply to  the senrior ward in written
My district is Lahore can I apply for hostel?,NO
Can I pay fee online?,Yes
In which bank to submit hostel fee?,HBL any branch
How to get challan form for hostel?,From LMS
How will check or know about hostel allotment?,You can check from LMS
 How to  get information about  hostel allotment?,From LMS
How will check about my roommates?,NO
Is it compulsory to apply for hostel using/through LMS?,Yes 
Can I apply for hostel without using LMS?,NO
Can I shift my room from one hostel to another?,"Allotment is merit based, but can be applied to senior warden "
How to shift room?,Not allowed
Is it possible to migrate from one hostel to another or from room to another room?,"Yes based on specific conditions, apply to senior warden"
Where I will submit any complain If I face?,RT or senior warden
When I can apply for hostel?,At the time of admission or after every year two semesters
Can I apply for hostel as I’m apply for admission?,Yes
Is it possible that we submit hostel fee with admission fee?,Yes
Where uploads the hostel list?,On LMS account
What is the mission statement or mission of university?,To generate Knowledge for global competitive advantage and become leading world class research University.
What is the vision statement or vision of university?,"To play leading role as a university of Engineering and Technology in teaching, Research, Innovation and commercialization that is internationally relevant and has a direct bearing on nation al industrial, technological and socio-economic development. "
What is contact number of voice chancellor?,Contact no of Voice Chancellor is : 042-99250201
What is email id of voice chancellor?,Email I’d of Voice Chancellor is : vc@uet.edu.pk
What is contact number of dean of faculty of Electrical Engineering?,Contact no of dean of faculty of Electrical Engineering is : 042-9902934
What is email id of dean faculty of electrical engineering ?,Email I’d of dean faculty of electrical engineering is : deanee@uet.edu.pk
What is contact number of dean of faculty of Mechanical Engineering?,Contact no of dean of faculty of Mechanical Engineering is : 042-99029221
What is email id of dean faculty of mechanical engineering?,Email I’d of dean faculty of Mechanical engineering is : deanmech@uet.edu.pk
What is contact number of dean of faculty of Civil Engineering?,Contact no of dean of faculty of Civil Engineering is : 042-99029222
What is Email I’d of dean of faculty of Civil Engineering?,Email I’d of dean faculty of Civil engineering is : deancivil@uet.edu.pk
"What is contact number of faculty of Chemical, Mineral and Metallurgical Engineering?","Contact no of dean of faculty of Chemical, Mineral and Metallurgical Engineering is : 042-99029230"
"What is email id of faculty of Chemical, Mineral and Metallurgical Engineering?",Email I’d of dean faculty of Chemical Mineral and Metallurgical engineering is : deancmme@uet.edu.pk
What is contact number of dean of faculty of Architecture and Planning?,Contact no of dean of faculty of Architecture Engineering and Planning is : 042-99029250
What is email id of dean of faculty of Architecture and Planning?,Email I’d of dean faculty of Architecture Engineering and Planning engineering is : deanarch@uet.edu.pk
"What is contact number of dean of faculty of Natural Sciences, Humanities and Islamic Studies?","Contact no of dean of faculty of Natural Sciences, Humanities and Islamic Studies is : 042-99029215"
"What is email id of faculty of dean of Natural Sciences, Humanities and Islamic Studies?","Email I’d of dean faculty of Natural Sciences, Humanities and Islamic Studies is : deannshies@uet.edu.pk"
What is contact number of chairperson of Architecture Department?,Contact no of  chairperson of Architecture Department is : 042-99029223
What is email id of chairperson of Architecture Department?,Email I’d of chairperson of Architecture Department is : chairmanarch@uet.edu.pk
What is contact number of chairperson of Architecture Engineering and Design department?,Contact no of chairperson of faculty of Architecture Engineering and Design department is : 042-99029419
What is email id of chairperson of  Architecture Engineering and Design Department?,Email I’d of chairperson of Architecture Engineering and Design department is : charimanaed@uet.edu.pk
What is contact number of chairperson of  Chemical Engineering Department?,Contact no of chairperson of Chemical Engineering Department is : 042-99029488
What is email id of chairperson of  Chemical Engineering Department?,Email I’d of chairperson of Chemical Engineering Department is : chairmanchemical@uet.edu.pk
What is contact number of chairperson of Chemistry Department?,Contact no of chairperson of Chemistry Department is : 042-99029239
What is email id ofchairperson of Chemistry Department?,Email I’d of chairperson of Chemistry Department is : chairmanchemistry@uet.edu.pk
What is contact number of City and Regional Plaining Department?,Contact no of chairperson of City and Regional Plaining Department is : 042-99029203
What is contact number of chairperson of City and Regional Plaining Department?,Email I’d of chairperson of City and Regional Plaining Department is : chairmancrp@uet.edu.pk
What is email id of chairperson of City and Regional Plaining Department?,Email I’d of chairperson of City and Regional Plaining Department is : chairmancrp@uet.edu.pk
What is contact number of chairperson of Civil Engineering Department?,Contact no of chairperson of Civil Engineering is : 042-99029202
What is email id of chairperson of  Civil Engineering Department?,Email I’d of chairperson of Civil Engineering is : chairmancivil@uet.edu.pk
What is contact number of chairperson of Computer Science and Engineering Department?,Contact no of chairperson of Computer Science and Engineering Department is : 042-99029215
What is email id of chairperson of  Computer Science and Engineering Department?,Email I’d of chairperson of Computer Science and Engineering Department is : chairmancse@uet.edu.pk
What is email id of chairperson of Computer Science and Engineering Department?,Email I’d of chairperson of Computer Science and Engineering Department is : chairmancse@uet.edu.pk
What is contact number of chairperson of  Electrical Engineering Department?,Contact no of chairperson of Electrical Engineering is : 042-99029229
What is email id of chairperson of Electrical Engineering Department?,Email I’d of chairperson of electrical engineering is : chairmanee@uet.edu.pk
What is contact number of chairperson of Institute of Environmental Engineering Department?,Contact no of chairperson of Institute of Environmental Engineering Department is : 042-99029248
What is email id of chairperson of Environmental Engineering Department?,Email I’d of chairperson of Institute of Environmental Engineering is : sajjad@uet.edu.pk
What is contact number of chairperson of Geological Engineering Department?,Contact no of chairperson of Geological Engineering Department is : 042-99029297
What is email id of chairperson of Geological Engineering Department?,Email I’d of chairperson of Geological Engineering Department is : chairmangeological@uet.edu.pk
What is contact number of chairperson of Humanities and Social Science Department?,Contact no of chairperson of Humanities and Social Science Department is : 042-99029493
What is email id of chairperson of Humanities and Social Science Department?,Email I’d of chairperson of Humanities and Social Science Department is : chairmanhmss@uet.edu.pk
What is contact number of chairperson of Industrial & Manufacturing Engineering Department?,Contact no of chairperson of Industrial & Manufacturing Engineering Department is : 042-99029226
What is email id of chairperson of  Geological Engineering Department?,Email I’d of chairperson of Geological Engineering Department is : chairmanime@uet.edu.pk
What is contact number of chairperson of  Islamic Studies Department?,Contact no of chairperson of Islamic Studies Department is : 042-99029246
What is email id of chairperson of Islamic Studies Department?,Email I’d of chairperson of Islamic Studies Department is : chairmanislamic@uet.edu.pk
What is contact number of chairperson of Mathematics Department?,Contact no of chairperson of Mathematics Department is : 042-99029210
What is email id of chairperson of  Mathematics Department?,Email I’d of chairperson of Mathematics Department is : chairmanmath@uet.edu.pk
What is contact number of chairperson of Mechanical Engineering Department?,Contact no of chairperson of Mechanical Engineering is : 042-99029466
What is email id ofchairperson of Mechanical Engineering Department?,Email I’d of chairperson of Mechanical Engineering is : chairmanmech@uet.edu.pk
What is contact number of chairperson of Mechatronics and Control Engineering Department?,Contact no of chairperson of Mechatronics and Control Engineering Department is : 042-99029294
What is email id of Mechatronics and Control Engineering Department?,Email I’d of chairperson of Mechatronics and Control Engineering Department is : chairmanmce@uet.edu.pk
What is contact number of Metallurgical Engineering and Material Science Department?,Contact no of chairperson of Metallurgical Engineering and Material Science Department is : 042-99029207
What is email id of chairman/chairperson of  Metallurgical Engineering and Material Department?,Email I’d of chairperson of Metallurgical Engineering and Material Science Department is : chairmanmet@uet.edu.pk
What is contact number of chairman/chairperson of Mining Engineering Department?,Contact no of chairperson of Mining Engineering Department is : 042-99029212
What is email id of chairman/chairperson of Mining Engineering Department?,Email I’d of chairperson of Mining Engineering Department is : chairmanmining@uet.edu.pk
What is contact number of chairman/chairperson of Petroleum Engineering Department?,Contact no of chairperson of Petroleum Engineering Department is : 042-99029471
What is email id of chairman/chairperson of Petroleum Engineering Department?,Email I’d of chairperson of Petroleum Engineering Department is : chairmanpetroleum@uet.edu.pk
What is contact number of chairman/chairperson of Physics Department?,Contact no of chairperson of Physics Department is : 042-990292204
What is email id of chairman/chairperson of Physics Department?,Email I’d of chairperson of Physics Department is : chairmanphy@uet.edu.pk
What is contact number of chairman/chairperson of Polymer and Processing Engineering Department?,Contact no of chairperson of Polymer and Processing Engineering Department is : 042-99029505
What is email id ofchairman/chairperson of Polymer and Processing Engineering Department?,Email I’d of chairperson of Polymer and Processing Engineering Department is : chairmanpolymer@uet.edu.pk
What is contact number of chairman/chairperson of Transportation Engineering and Management Department?,Contact no of chairperson of Transportation Engineering and Management Department is : 042-99029428
What is email id of chairman/chairperson of Transportation Engineering and Management Department?,Email I’d of chairperson of Transportation Engineering and Management Department is : chair-tem@uet.edu.pk
What is contact number of chairman/chairperson of Product and Industrial Design Department?,Contact no of chairperson of Product and Industrial Design Department is : 042-99029203
What is email id of chairman/chairperson of Product and Industrial Design Department?,Email I’d of chairperson of Product and Industrial Design Department is : chairmanpid@uet.edu.pk
What is contact number of Chairman Health Committee?,Contact no of Chairman Health Committee is : 042-99029240
What is email id of Chairman Health Committee?,Email I’d of Chairman Health Committee is : chairmanee@uet.edu.pk
What is contact number of Director Financial Aid and Career Services?,Contact no of Director Financial Aid and Career Services is : 042-99029218
What is email id of Director Financial Aid and Career Services?,Email I’d of Director Financial Aid and Career Services is : facs@uet.edu.pk
What is contact number of Chairman Transport Committee?,Contact no of dean of Chairman Transport Committee is : 042-99029266
What is email id of Chairman Transport Committee?,Email I’d of Chairman Transport Committee is : ctc@uet.edu.pk
What is contact number of Chief Medical Officer?,Contact no of Chief Medical Officer is : 042-99029215
What is email id of Chief Medical Officer?,Email I’d of Chief Medical Officer is : cmo@uet.edu.pk
What is contact number of Controller of Examinations?,Contact no of Controller of Examinations is : 042-99029235
What is email id of Controller of Examinations?,Email I’d of Controller of Examinations is : examination@uet.edu.pk
What is contact number of Convener Admission Committee / Incharge Student Section ?,Contact no of Convener Admission Committee / Incharge Student Section is : 042-99029216
What is email id of Convener Admission Committee / Incharge Student Section?,Email I’d of Convener Admission Committee / Incharge Student Section is : admission@uet.edu.pk
What is contact number of International Students Office?,Contact no International Students Office is : 042-99250212
What is email id of International Students Office?,Email I’d International Students Office is : drsaleemkhan@uet.edu.pk
What is contact number of Director General Research External and Advisory Services?,Contact no of Director General Research External and Advisory Services is : 042-99029237
What is email id of Director General Research External and Advisory Services?,Email I’d of Director General Research External and Advisory Services is : mtahir@uet.edu.pk
What is contact number of Director Studies?,Contact no of Director Studies is : 042-99029251
What is email id of Director Studies?,Email I’d of Director Studies is : dir.studeis@uet.edu.pk
What is contact number of Director Students Affairs?,Contact no of Director Students Affairs is : 042-99029244
What is email id of Director Students Affairs?,Email I’d of Director Students Affairs is : dsa@uet.edu.pk
What is contact number of Focal Person Higher Education Commission?,Contact no of Focal Person Higher Education Commission is : 042-99029144
What is email id of Focal Person Higher Education Commission?,Email I’d of Focal Person Higher Education Commission is : hecfocalperson@uet.edu.pk
What is contact number of Librarian?,Contact no of Librarian is : 042-99029243
What is email id of Librarian?,Email I’d of Librarian is : lib@uet.edu.pk
What is contact number of Project Director?,Contact no of Project Director is : 042-99029238
What is email id of Project Director?,Email I’d of Project Director is : pd@uet.edu.pk
What is contact number of Public Relation Officer?,Contact no of Public Relation Officer is : 042-99029358
What is email id of Public Relation Officer?,Email I’d of Public Relation Officer is : pro@uet.edu.pk
What is contact number of Registrar?,Contact no of Registrar is : 042-99029227
What is email id of Registrar?,Email I’d of Registrar is : regestrar@uet.edu.pk
What is contact number of Resident Auditor?,Contact no of Resident Auditor is : 042-99029232
What is email id of Resident Auditor?,Email I’d of Resident Auditor is : ra@uet.edu.pk
What is contact number of Senior Warden?,Contact no of Senior Warden is : 042-99029225
What is email id of Senior Warden?,Email I’d of Senior Warden is : seniorw@uet.edu.pk
What is contact number of Treasurer?,Contact no of Treasurer is : 042-99029233
What is contact number of Treasurer?,Email I’d of Treasurer is : treasurer@uet.edu.pk
"Sir, I need and internet connection, what is the procedure?",Please provide machine/device hardware information (e.g MAC Address).
"Sri, what is command to extract MAC address?",You may find by executing GETMAC /V.
"Sir, what are passwords for wireless AP’s?",List displayed on notice board.
Can I register more than one device on/with intenet?,Yes.
What is a range of wireless network?,30 Meters.
Can I access IEEE or digital library on this network?,Yes.
Why torrents are blocked?,To balance network traffic.
"My social media in inaccessible at department, what wrong?",Due to some commission restrictions.
Why network speed is scanty?,Network partially suspended.
Can I host my application?,Yes.
Can you provide me bootable OS in USB?,Yes.
What are credentials for Lab PC’S?,Your Registration Number and Password generated by System Administrator.
Can you provide me MATLAB 2018 registered version?,"No, it would be trial version."
Can you help me to crack my classmate email account? ,Not allowed.
Can you hack my friend Facebook account?,"It’s a Crime, not allowed."
an you please download a large list of movies for me?,No.
Where I can get projector?,Lecture Theaters from authorized person.
"Sir, 1st merit list is displayed yet?","Not sure, please see admission website."
Where is ABC facility member?,Please check his/her timetable.
Where is chairperson office?,Right Side while entering from main entrance of department.
Can you repair my machine?,No.
Can you recover my data?,No.
"My mobile or laptop has been stolen, can you track or trace?",No.
What is our Network speed?,Dedicated and partially shared about 80MB.
"I need and high-profile system, when you can provide me?",Please see lab in-charge.
Do you have a central data share?,Yes.
What are computer science machines in rank?,Servers of different flavors.
Since how long your power backup system remain functional?,2-3 Hours Approximately.
Can you please help me to review my code?,Please see your tutor.
What is specification of servers in computer science department?,Dell Power Series Server.
 What type of servers you have managed in CSE?,All educational and administrative purpose servers.
Can you manage Labs for entry test exam?,Yes.
Can you open or unlock CS lab for me?,Please see Lab Supervisor.
"Projector is not functional, who can help?",Please see the administration office.
 I have forgot my LMS credentials? What’s next?,Please approach CQI Cell.
 What are credentials/rules for smart university Wi-Fi connection,Provided as per list to authorized person.
What is the Arrival time of the chairperson in her office or Department?,"CS chairperson normally comes at 8am.  Sometimes she is busy in meeting with VC, lecture in class or meeting in outside the department."
Timetable inquiry/ where is timetable notice/where timetable notice is displayed?,Timetable is available on the notice board however we can inform about existence of rooms or labs
where is timetable notice?,Timetable is available on the notice board however we can inform about existence of rooms or labs
where does display the timetable notice?,Timetable is available on the notice board however we can inform about existence of rooms or labs
How can meet to CS chairperson?,Contact to PA office or can check timetable where is the class of chairperson?
Dues and fee structure inquiry,Contact to due section in admin block  042-99029427.
Information inquiry about BS/BSC/MS/PHD computer science (CS).,Information related to  B.Sc computer science or computer engineering contact to Mr. Gulnwaz sb and information related to MSc computer science or computer engineering or PhD contact Mr. kaleem sb.
What is PA to chairperson contact no for Computer Science Department?,PA to chairperson : 042-99029260
Teacher availability inquiry/when teachers are available?,"Visit concerned teacher’s office,  or check timetable to know where classroom  is located, or contact in the office of PA."
Admission inquiry/Information related to admission,Contact in the PA office or contact to the convener admission office (042-990292600)
All information about Scholarship/how to get scholarship/where we will apply for scholarship where will upload the lists of selected students for scholarship?,Contact in the office of FA&CS (financial aid and carrier services)
Contact number of FA&CS?,FA&CS : 042-99029218
WHERE IS FA&CS OFFICE?,It located on ground floor admin block.
Result inquiry/information about result?,Related to department contact with PA office or with Gulnwaz sb. And related to examination branch may contact to controller of examination (examination branch) in admin block 042-99029235.
What is Contact number of due section?,Contact no of due section is : 042-99029427
What is Contact number of examination branch?,Contact number of examination branch is : 042-99029235.
Disciplinary Action/information about disciplinary action?,This matter is related to the DSA in admin block.
Where is DSA office?,In admin block on ground floor
What is Contact number of DSA office?,Contact number of DSA office is : 042-99029244.
Hostel inquiry/where to get hostel information?,Contact to the senior warden office in admin block 042-99029225
Where is senior warden office? ,In admin block  contact no is 042-99029225
Transport inquiry/ what is contact number of transport section?,Contact to transport section university bus stop 042-99029466
Ask any question about CS timetable/where to get information about CS timetable?,To get information about timetable contact to Tariq sab .
Information about leaves/what is procedure to get leave?,Contact to Tariq sb in CS to get information about leave. Contact with concerned personality if you belong to any other department excepted to computer science.
Schedule of the academic calendar/information about academic calendar?,Contact to Tariq sb in CS department if you want to get information about CS academic calendar otherwise visit to examination section to get information about academic  calendar
What is Contact number of Tariq sab?,Contact to PA office: 042-99029260
Who is Medical first aid advisor in CS department?,Contact to Tariq sb for medical aid advisor.
How to get Information about Security issues? ,Contact to security office 042-99029400
Where is university dispensary or clinic or health clinic ?,Location of university dispensary or clinic or health clinic is officer colony.
What is contact number of health clinic? ,Contact number of health clinic : 042-99029240
How to make clearance? ,"Get Clearance Form from Star Copy, got signatures from all mention departments before going to dues section."
How to apply for clearance?,"Get Clearance Form from Star Copy, got signatures from all mention departments before going to dues section."
Where to get form for clearance?,Get Clearance Form from Star Copy.
What is procedure for clearance?,"Get Clearance Form from Star Copy, got signatures from all mention departments before going to dues section."
What documents are required for B.Sc/undergraduate/bachelors’ clearance?,Clearance Form and all deposited Fee receipts (if missing on LMS)
What documents are required for M.Sc./Postgraduate/Masters/Ph.D. clearance?,"Clearance Form, Thesis Notification which is issued by the Examination branch."
Are same documents required for postgraduate and undergraduate clearance?,Clearance Form Same and Thesis Notification only Required for M.Sc.
Where to apply for provisional certificate?,Contact Student Section (042-99029281-470
What documents are required for B.Sc/undergraduate/bachelors’ provisional certificate?,"Application Form (Download form UET Website or Get from Star Photocopy shop), Rs.500/- Challan Generate from Student LMS and same deposited in HBL, Copy of Complete DMC, Original Clearance Slip which is got from Dues Section, One Recent Photograph"
What documents are required for M.Sc./Postgraduate/Masters/Ph.D. provisional certificate?,"Application Form (Download form UET Website or Get from Star Photocopy shop), Rs.500/- Challan Generate from Student LMS and same deposited in HBL, Copy of Complete DMC, Original Clearance Slip which is got from Dues Section, One Recent Photograph.  "
What is procedure to apply provisional certificate?,"Application Form (Download form UET Website or Get from Star Photocopy shop), Rs.500/- Challan Generate from Student LMS and same deposited in HBL, Copy of Complete DMC, Original Clearance Slip which is got from Dues Section, One Recent Photograph."
What documents are required for provisional certificate?,"Application Form (Download form UET Website or Get from Star Photocopy shop), Rs.500/- Challan Generate from Student LMS and same deposited in HBL, Copy of Complete DMC, Original Clearance Slip which is got from Dues Section, One Recent Photograph."
What is fee for provisional certificate?,Rs.500/-
Where to get provisional certificate fee voucher?,Student Login (LMS)
When can I apply for provisional certificate?,After get Complete DMC
Where to submit application for provisional certificate?,Student Section.
How to apply for admission cancellation?,"Get Clearance Form from Star Copy, get signatures from all mention departments before going to dues section and also mention on clearance form how much semesters registered on lms from department coordinator. "
How can I cancel my admission?,"Get Clearance Form from Star Copy, get signatures from all mention departments before going to dues section and also mention on clearance form how much semesters registered on lms from department coordinator."
How to freeze semester?,By the recommendation of The Chairman and Dean.
Can I freeze my semester?,By the recommendation of The Chairman and Dean.
Will I have to pay fee for semester freeze?,Yes! Rs.5000/- Challan get from Dues Section.
Where to submit form for semester freeze?,Download prescribe form available at UET website recommendation from Chairman and Dean.
Is there any fee for semester freeze?,Yes! Rs.5000/- Challan get from Dues Section.
How unfreeze semester?,Get letter from Student Section.
Where to get admission fee voucher?,Student Login on LMS
How can I get admission fee voucher?,Admission fee Voucher will be available on student account when he will be applied for admission.
I have lost my fee voucher; how can I update my dues?,Contact dues section.
"I have lost my paid fee voucher, what can I do now?",Contact dues section.
Is it compulsory to clear thesis within four semesters/2 years’ duration?,No
What are Maximum semester to clear thesis?,Eight Semester Degree Time period.
Will I have to pay full fee after four semesters in M.Sc/M.Phil/postgraduate if I register subject?,"Yes, full fee charged if student registered subject in any semester."
Will I have to pay full fee after four semesters in M.Sc/M.Phil/postgraduate if I don’t register subject?,No.
What is account number to pay fee?,Fee Will be paid through LMS Challan where everything is mentioned on it.
Can I pay fee online?,"Yes, You Can pay online via HBL Connect App, HBL Internet Banking. HBL Mobile App."
What is procedure to pay fee online?,Online App>Pay>Make New Payment>Education>Institution (UET Lahore)>Entered Challan No.
Can I pay fee in any bank?,Only HBL Branches
Can I pay fee in any branch of HBL?,Yes
In which bank I can pay fee?,Only HBL
What is procedure for provisional certificate verification?,Pay Rs.500/- in HBL Bank than Contact Student Section.
How to apply for (No objection Certificate) NOC?,Download prescribe form available at UET website or Buy from Star Photo Copy shop and Pay Rs.2000/- in HBL Bank than Contact Student Section.
From Where to get form for (No objection Certificate) NOC?,Download prescribe form available at UET website or Buy from Star Photo Copy shop.
What is procedure to apply for (No objection Certificate) NOC?,Download prescribe form available at UET website or Buy from Star Photo Copy shop and Pay Rs.2000/- in HBL Bank than Contact Student Section.
What is fee to apply (No objection Certificate)NOC?,Rs.2000/-
Where to submit application for  (No objection Certificate) NOC?,Student Section.
How can I get my dues details?,You can See Your dues detail on Student LMS Account otherwise contact Dues Section for any Queries.
From where I can get dues details?,Dues Section.
What is fee structure?,Fee structure is the fee of student Semester.
Can I pay fee in instalments?,No
What is procedure for fee refund?,Fee Refund Only Those Student Can Apply who cancelled admission or complete their degrees and also have Negative Outstanding amount on their LMS Account by the verify of Dues Section.
How can I refund my fee?,Fee Refund Only Those Student Can Apply who cancelled admission or complete their degrees and they have also Negative Outstanding amount on their LMS Account by the verification of Dues Section
Where to apply for fee refund?,Write Simple application to Convener Admission Committee for Dues Refund than Contact Dues Section.
How much fee can be refunded?,"Only Negative Amount can be refunded to old students. Admission Cancellation by Freshly admitted students on the date of registration in University Classes: - 
(a)	Full (100%) Fee refund if admission cancelled up to 8th day.
(b)	Half (50%) Fee refund if admission Cancelled from 9th to 16th day.
(c)	No fee refund if admission cancelled from 17th day onward. "
How much fee will be deducted for refund?,"Admission Cancellation by Freshly admitted students on the date of registration in University Classes: - 
(d)	Full (100%) Fee refund if admission cancelled up to 8th day.
(e)	Half (50%) Fee refund if admission Cancelled from 9th to 16th day.
(f)	No fee refund if admission cancelled from 17th day onward. "
In how many days can I apply for fee refund?,"Admission Cancellation by Freshly admitted students on the date of registration in University Classes: - 
(g)	Full (100%) Fee refund if admission cancelled up to 8th day.
(h)	Half (50%) Fee refund if admission Cancelled from 9th to 16th day.
(i)	No fee refund if admission cancelled from 17th day onward. "
Can I apply for fee refund after attending classes?,"After Attending 17th day of Student Registration, the refund only Securities."
I have attended classes; can I apply for fee refund?,"After Attending 17th day of Student Registration, the refund only Securities."
Where to get application form for fee refund?,Only Write a Simple application to the Convener Admission Committee or provide a Copy of Clearance Form for Fee Refund to Dues Section.
How to apply for security refund?,Security refund Only in case of admission cancelled.  
Where to get form for security refund?,Only Write a Simple application to the Convener Admission Committee or provide a Copy of Clearance Form for Fee Refund to Dues Section.
